date,price
5/7/2024,4.652
3/7/2024,4.5335
2/7/2024,4.419
1/7/2024,4.418
28/6/2024,4.3915
27/6/2024,4.3485
26/6/2024,4.367
25/6/2024,4.371
24/6/2024,4.425
21/6/2024,4.4285
20/6/2024,4.523
18/6/2024,4.4505
17/6/2024,4.431
14/6/2024,4.475
13/6/2024,4.48
12/6/2024,4.5595
11/6/2024,4.51
10/6/2024,4.5435
7/6/2024,4.4835
6/6/2024,4.678
5/6/2024,4.606
4/6/2024,4.537
3/6/2024,4.6675
31/5/2024,4.602
30/5/2024,4.6585
29/5/2024,4.791
28/5/2024,4.855
24/5/2024,4.7535
23/5/2024,4.7925
22/5/2024,4.8485
21/5/2024,5.106
20/5/2024,5.079
17/5/2024,5.05
16/5/2024,4.877
15/5/2024,4.9245
14/5/2024,4.895
13/5/2024,4.766
10/5/2024,4.6625
9/5/2024,4.585
8/5/2024,4.5425
7/5/2024,4.6055
6/5/2024,4.615
3/5/2024,4.557
2/5/2024,4.4845
1/5/2024,4.546
30/4/2024,4.5645
29/4/2024,4.6765
26/4/2024,4.574
25/4/2024,4.5385
24/4/2024,4.4865
23/4/2024,4.46
22/4/2024,4.506
19/4/2024,4.526
18/4/2024,4.466
17/4/2024,4.3635
16/4/2024,4.3035
15/4/2024,4.379
12/4/2024,4.2585
11/4/2024,4.253
10/4/2024,4.282
9/4/2024,4.2855
8/4/2024,4.276
5/4/2024,4.236
4/4/2024,4.249
3/4/2024,4.194
2/4/2024,4.0705
1/4/2024,4.0485
28/3/2024,4.007
27/3/2024,4
26/3/2024,4.0085
25/3/2024,4.016
22/3/2024,4.0075
21/3/2024,4.0585
20/3/2024,4.0515
19/3/2024,4.0745
18/3/2024,4.13
15/3/2024,4.1245
14/3/2024,4.0455
13/3/2024,4.06
12/3/2024,3.932
11/3/2024,3.9285
8/3/2024,3.8915
7/3/2024,3.926
6/3/2024,3.875
5/3/2024,3.847
4/3/2024,3.857
1/3/2024,3.8615
29/2/2024,3.847
28/2/2024,3.8405
27/2/2024,3.8505
26/2/2024,3.8345
23/2/2024,3.9005
22/2/2024,3.915
21/2/2024,3.8875
20/2/2024,3.8675
16/2/2024,3.8385
15/2/2024,3.758
14/2/2024,3.7
13/2/2024,3.711
12/2/2024,3.724
9/2/2024,3.6815
8/2/2024,3.702
7/2/2024,3.7355
6/2/2024,3.781
5/2/2024,3.7715
2/2/2024,3.8215
1/2/2024,3.8535
31/1/2024,3.906
30/1/2024,3.911
29/1/2024,3.879
26/1/2024,3.852
25/1/2024,3.869
24/1/2024,3.886
23/1/2024,3.7935
22/1/2024,3.7635
19/1/2024,3.7865
18/1/2024,3.745
17/1/2024,3.733
16/1/2024,3.7665
12/1/2024,3.7405
11/1/2024,3.7765
10/1/2024,3.781
9/1/2024,3.7585
8/1/2024,3.81
5/1/2024,3.806
4/1/2024,3.844
3/1/2024,3.8615
2/1/2024,3.8805
29/12/2023,3.8905
28/12/2023,3.9245
27/12/2023,3.9595
26/12/2023,3.902
22/12/2023,3.905
21/12/2023,3.9175
20/12/2023,3.906
19/12/2023,3.898
18/12/2023,3.852
15/12/2023,3.8905
14/12/2023,3.8925
13/12/2023,3.835
12/12/2023,3.7875
11/12/2023,3.7805
8/12/2023,3.8305
7/12/2023,3.7975
6/12/2023,3.7345
5/12/2023,3.784
4/12/2023,3.8355
1/12/2023,3.9315
30/11/2023,3.8505
29/11/2023,3.8255
28/11/2023,3.8395
27/11/2023,3.8
24/11/2023,3.8325
22/11/2023,3.8085
21/11/2023,3.849
20/11/2023,3.841
17/11/2023,3.77
16/11/2023,3.7025
15/11/2023,3.7185
14/11/2023,3.6835
13/11/2023,3.666
10/11/2023,3.587
9/11/2023,3.6405
8/11/2023,3.638
7/11/2023,3.679
6/11/2023,3.719
3/11/2023,3.6815
2/11/2023,3.6725
1/11/2023,3.6605
31/10/2023,3.649
30/10/2023,3.6585
27/10/2023,3.646
26/10/2023,3.5845
25/10/2023,3.591
24/10/2023,3.624
23/10/2023,3.5865
20/10/2023,3.563
19/10/2023,3.601
18/10/2023,3.587
17/10/2023,3.5785
16/10/2023,3.582
13/10/2023,3.571
12/10/2023,3.591
11/10/2023,3.612
10/10/2023,3.634
9/10/2023,3.646
6/10/2023,3.6275
5/10/2023,3.552
4/10/2023,3.589
3/10/2023,3.621
2/10/2023,3.6415
29/9/2023,3.7375
28/9/2023,3.708
27/9/2023,3.6365
26/9/2023,3.649
25/9/2023,3.67
22/9/2023,3.694
21/9/2023,3.696
20/9/2023,3.776
19/9/2023,3.747
18/9/2023,3.779
15/9/2023,3.801
14/9/2023,3.8215
13/9/2023,3.793
12/9/2023,3.792
11/9/2023,3.807
8/9/2023,3.7165
7/9/2023,3.762
6/9/2023,3.786
5/9/2023,3.8485
1/9/2023,3.852
31/8/2023,3.822
30/8/2023,3.844
29/8/2023,3.839
28/8/2023,3.792
25/8/2023,3.784
24/8/2023,3.7935
23/8/2023,3.8375
22/8/2023,3.7885
21/8/2023,3.7545
18/8/2023,3.7405
17/8/2023,3.7295
16/8/2023,3.6955
15/8/2023,3.7055
14/8/2023,3.7255
11/8/2023,3.719
10/8/2023,3.765
9/8/2023,3.7835
8/8/2023,3.7665
7/8/2023,3.835
4/8/2023,3.8675
3/8/2023,3.8995
2/8/2023,3.8435
1/8/2023,3.9085
31/7/2023,4.008
28/7/2023,3.9265
27/7/2023,3.8755
26/7/2023,3.902
25/7/2023,3.9155
24/7/2023,3.8555
21/7/2023,3.818
20/7/2023,3.8345
19/7/2023,3.814
18/7/2023,3.8295
17/7/2023,3.844
14/7/2023,3.933
13/7/2023,3.94
12/7/2023,3.853
11/7/2023,3.766
10/7/2023,3.7845
7/7/2023,3.782
6/7/2023,3.7345
5/7/2023,3.7685
3/7/2023,3.794
30/6/2023,3.7595
29/6/2023,3.699
28/6/2023,3.7425
27/6/2023,3.7885
26/6/2023,3.8045
23/6/2023,3.8155
22/6/2023,3.9005
21/6/2023,3.9105
20/6/2023,3.8935
16/6/2023,3.8985
15/6/2023,3.904
14/6/2023,3.87
13/6/2023,3.831
12/6/2023,3.752
9/6/2023,3.789
8/6/2023,3.795
7/6/2023,3.756
6/6/2023,3.7685
5/6/2023,3.768
2/6/2023,3.7275
1/6/2023,3.711
31/5/2023,3.637
30/5/2023,3.663
26/5/2023,3.682
25/5/2023,3.588
24/5/2023,3.5615
23/5/2023,3.6545
22/5/2023,3.685
19/5/2023,3.732
18/5/2023,3.6895
17/5/2023,3.7545
16/5/2023,3.667
15/5/2023,3.751
12/5/2023,3.7285
11/5/2023,3.71
10/5/2023,3.841
9/5/2023,3.9015
8/5/2023,3.9295
5/5/2023,3.883
4/5/2023,3.863
3/5/2023,3.845
2/5/2023,3.8625
1/5/2023,3.934
28/4/2023,3.8905
27/4/2023,3.884
26/4/2023,3.8615
25/4/2023,3.865
24/4/2023,3.9645
21/4/2023,3.9865
20/4/2023,4.0325
19/4/2023,4.081
18/4/2023,4.0965
17/4/2023,4.0695
14/4/2023,4.1065
13/4/2023,4.124
12/4/2023,4.081
11/4/2023,4.0195
10/4/2023,3.9765
6/4/2023,4.0155
5/4/2023,3.9865
4/4/2023,3.971
3/4/2023,4.0455
31/3/2023,4.0945
30/3/2023,4.0915
29/3/2023,4.0865
28/3/2023,4.0855
27/3/2023,4.0785
24/3/2023,4.075
23/3/2023,4.1235
22/3/2023,4.0445
21/3/2023,3.994
20/3/2023,3.9515
17/3/2023,3.8925
16/3/2023,3.8645
15/3/2023,3.843
14/3/2023,4.003
13/3/2023,4.0535
10/3/2023,4.0305
9/3/2023,4.039
8/3/2023,4.027
7/3/2023,3.975
6/3/2023,4.0885
3/3/2023,4.067
2/3/2023,4.076
1/3/2023,4.16
28/2/2023,4.0895
27/2/2023,4.011
24/2/2023,3.953
23/2/2023,4.056
22/2/2023,4.185
21/2/2023,4.212
17/2/2023,4.105
16/2/2023,4.1215
15/2/2023,4.0105
14/2/2023,4.075
13/2/2023,4.0575
10/2/2023,4.0165
9/2/2023,4.097
8/2/2023,4.0355
7/2/2023,4.0805
6/2/2023,4.035
